Group,Note
Desktop Screen Readers (JAWS),In JAWS the command Insert + F7 brings up a list of all links on the current webpage.
Desktop Screen Readers (JAWS),To list all headings on a webpage in JAWS press Insert + F6.
Desktop Screen Readers (JAWS),The JAWS key is usually the Insert key on a desktop keyboard layout.
Desktop Screen Readers (JAWS),On a laptop layout the JAWS key often defaults to the Caps Lock key.
Desktop Screen Readers (JAWS),Pressing Insert + F10 in JAWS brings up the list of currently open windows.
Desktop Screen Readers (JAWS),To access the System Tray icons in JAWS press Insert + F11.
Desktop Screen Readers (JAWS),Insert + Down Arrow initiates the Say All command to read continuously from the cursor location.
Desktop Screen Readers (JAWS),To silence JAWS speech immediately press the Control key.
Desktop Screen Readers (JAWS),The JAWS Cursor is a mouse pointer simulator that allows you to navigate areas the standard PC cursor cannot reach.
Desktop Screen Readers (JAWS),The PC Cursor in JAWS follows the system focus and is used for general typing and navigation.
Desktop Screen Readers (JAWS),Insert + Minus (on the numpad) routes the JAWS cursor to the PC cursor location.
Desktop Screen Readers (JAWS),Insert + Plus (on the numpad) routes the PC cursor to the JAWS cursor location.
Desktop Screen Readers (JAWS),To toggle the Screen Shade in JAWS (privacy mode) use Insert + Space followed by Print Screen.
Desktop Screen Readers (JAWS),Insert + Space followed by O then D performs OCR on the current document or image.
Desktop Screen Readers (JAWS),To switch between open applications with JAWS speech support use Alt + Tab.
Desktop Screen Readers (JAWS),Insert + T reads the title of the current application window.
Desktop Screen Readers (JAWS),Insert + B reads the current window contents from top to bottom.
Desktop Screen Readers (JAWS),To find text on a webpage within JAWS press Ctrl + F to open the JAWS Find dialog.
Desktop Screen Readers (JAWS),Forms Mode in JAWS allows the user to type into input fields on web pages without triggering navigation shortcuts.
Desktop Screen Readers (JAWS),Auto Forms Mode automatically enables typing when you tab onto an edit field.
Desktop Screen Readers (JAWS),Insert + Z toggles the Virtual PC Cursor on and off.
Desktop Screen Readers (JAWS),To read the current time in JAWS press Insert + F12.
Desktop Screen Readers (JAWS),Pressing Insert + F12 twice quickly will read the current date.
Desktop Screen Readers (JAWS),JAWS Research It allows users to quickly look up stock quotes or weather using Insert + Space followed by R.
Desktop Screen Readers (JAWS),Text Analyzer in JAWS helps identify font changes and inconsistencies in documents.
Desktop Screen Readers (JAWS),Insert + Space followed by H opens the Speech History window to review what was just spoken.
Desktop Screen Readers (JAWS),To pass a key through to the application without JAWS intercepting it press Insert + 3.
Desktop Screen Readers (JAWS),Table navigation in JAWS uses Alt + Ctrl + Arrow Keys to move between cells.
Desktop Screen Readers (JAWS),Insert + C reads the word in context or the current column in a list view.
Desktop Screen Readers (JAWS),Insert + 5 (numpad) reads the current character spoken phonetically if pressed twice.
Desktop Screen Readers (NVDA),To quit NVDA completely press NVDA + Q.
Desktop Screen Readers (NVDA),The Elements List in NVDA which shows links and headings is accessed via NVDA + F7.
Desktop Screen Readers (NVDA),Input Help mode which announces the function of any key pressed is toggled with NVDA + 1.
Desktop Screen Readers (NVDA),NVDA + Up Arrow reads the current line of text.
Desktop Screen Readers (NVDA),To read the current window title in NVDA press NVDA + T.
Desktop Screen Readers (NVDA),NVDA + F12 allows you to hear the time.
Desktop Screen Readers (NVDA),Pressing NVDA + F12 twice quickly speaks the date.
Desktop Screen Readers (NVDA),To toggle the Speech Viewer window which displays spoken text visually use the NVDA Tools menu.
Desktop Screen Readers (NVDA),The NVDA modifier key can be set to Insert Caps Lock or both.
Desktop Screen Readers (NVDA),NVDA + Ctrl + S opens the synthesizer selector to change voices.
Desktop Screen Readers (NVDA),Object Navigation in NVDA allows users to inspect the operating system structure independent of the system focus.
Desktop Screen Readers (NVDA),NVDA + N opens the main NVDA menu.
Desktop Screen Readers (NVDA),Browse Mode is used by NVDA for reading complex documents like web pages.
Desktop Screen Readers (NVDA),Focus Mode in NVDA directs keyboard input to the application such as a text field.
Desktop Screen Readers (NVDA),NVDA + Spacebar toggles between Focus Mode and Browse Mode manually.
Desktop Screen Readers (NVDA),To read the battery status on a laptop with NVDA press NVDA + Shift + B.
Desktop Screen Readers (NVDA),NVDA + P toggles the reading of punctuation symbols levels.
Desktop Screen Readers (NVDA),To toggle mouse tracking where NVDA reads what is under the mouse press NVDA + M.
Desktop Screen Readers (NVDA),The Review Cursor allows you to review text without moving the system insertion point.
Desktop Screen Readers (NVDA),NVDA + Shift + S toggles speech mode between Speech Beeps and Off.
Desktop Screen Readers (NVDA),To copy the text currently being reviewed to the clipboard press NVDA + F10.
Desktop Screen Readers (NVDA),NVDA + U toggles the reporting of progress bar updates.
Desktop Screen Readers (NVDA),NVDA supports add-ons which can be installed to extend functionality like remote support.
Desktop Screen Readers (NVDA),Screen Curtain for NVDA is typically achieved via a third-party add-on to darken the screen.
Desktop Screen Readers (NVDA),NVDA + 5 (numpad) reads the current word.
Desktop Screen Readers (NVDA),NVDA + 5 (numpad) pressed twice spells the current word.
Desktop Screen Readers (NVDA),Pressing NVDA + Tab reports the current focus object.
Desktop Screen Readers (NVDA),To find text in the current document in NVDA press NVDA + Control + F.
Desktop Screen Readers (NVDA),NVDA + Shift + Up Arrow reads the currently selected text.
Desktop Screen Readers (NVDA),To read the entire document from the current position press NVDA + Down Arrow.
Desktop Screen Readers (Windows Narrator),To start Narrator in Windows press Control + Windows Key + Enter.
Desktop Screen Readers (Windows Narrator),Narrator uses the Caps Lock or Insert key as the Narrator key.
Desktop Screen Readers (Windows Narrator),Caps Lock + Spacebar toggles Scan Mode in Narrator.
Desktop Screen Readers (Windows Narrator),Caps Lock + Esc exits Narrator.
Desktop Screen Readers (Windows Narrator),To read the current item in Narrator press Caps Lock + Tab.
Desktop Screen Readers (Windows Narrator),Caps Lock + Ctrl + U reads the next page in Narrator.
